id,2016,2015,2014,2013,2012,2011,2010,
748,0,0,0,0,0,0,0,none
752,23.1,22.5,22,21.4,20.9,20.4,19.9,
756,22.2,21.7,21.2,20.6,20.2,19.7,19.2,
760,20.9,20.2,19.5,18.8,18.1,17.5,16.9,
158,0,0,0,0,0,0,0,none
762,11.6,11.1,10.6,10.2,9.8,9.4,9,
834,4,3.7,3.5,3.3,3.1,3,2.8,
764,7,6.5,6,5.6,5.2,4.8,4.4,
626,2.6,2.4,2.3,2.1,1.9,1.8,1.7,
768,3.9,3.7,3.5,3.3,3.1,2.9,2.8,
780,10.8,10.4,9.9,9.5,9.2,8.8,8.4,
788,19.1,18.5,17.9,17.3,16.7,16.1,15.6,
792,24.4,23.6,22.9,22.2,21.5,20.9,20.2,
795,15.9,15.3,14.7,14.2,13.7,13.2,12.7,
800,1.8,1.7,1.6,1.5,1.5,1.4,1.3,
804,22,21.5,21,20.5,20,19.5,19,
784,27.5,26.8,26.1,25.4,24.8,24.1,23.5,
826,26.9,26.2,25.5,24.9,24.3,23.6,23,
840,35.5,34.7,34,33.3,32.6,31.9,31.2,
858,24.9,24.4,23.8,23.3,22.8,22.3,21.7,
860,13.8,13.3,12.8,12.3,11.8,11.4,11,
548,20.2,19.5,18.9,18.2,17.6,17,16.4,
862,22.4,22,21.5,21.1,20.7,20.3,19.9,
704,1.6,1.5,1.3,1.2,1.1,1,0.9,
732,0,0,0,0,0,,0,none
887,12,11.4,10.8,10.3,9.7,2.7,8.8,
894,3.6,3.4,3.2,3,2.9,3.9,2.6,
716,4.7,4.5,4.4,4.2,4,14.1,3.7,
